chapter,char_count,word_count,paragraph_count
1,1249,805,14
2,11,8,0
3,6271,4150,68
4,1109,728,18
5,2140,1420,18
6,2821,1939,16
7,1832,1185,14
8,32,18,0
9,37,22,0
10,3656,2454,22
11,85,59,0
12,5,4,0
13,5,3,0
14,931,614,4
15,1992,1364,14
16,522,343,10
17,1444,972,16
18,765,536,2
19,15,12,0
20,25,16,0
21,1634,1057,8
22,1647,1083,10
23,24,16,2
24,657,410,6
25,6105,4046,134
26,843,564,12
27,7443,5140,58
28,4930,3460,36
29,2508,1749,18
30,6666,4737,54
31,921,645,8
32,2669,1773,16
33,2111,1487,10
34,3513,2463,20
35,1600,1077,16
36,5893,4048,50
37,4279,2986,32
38,546,358,8
39,1925,1270,14
40,2588,1724,18
41,13,9,0
42,13,9,0
43,13,7,0
44,75,49,4
45,1046,705,8
46,3964,2661,36
47,10,6,0
48,10,6,0
49,10,6,0
50,558,354,6
51,491,323,4
52,31,25,0
53,4540,3099,34
54,4125,2787,26
55,3445,2370,28
56,2599,1779,22
57,5216,3588,56
58,7538,5021,82
59,8,6,0
60,8,6,0
61,8,6,0
62,930,616,6
63,132,85,4
64,53,35,0
65,5872,4263,40
66,3146,2261,26
67,3098,2210,20
68,1603,1177,10
69,609,458,4
70,2242,1612,12
71,8,7,0
72,3800,2713,32
73,546,386,4
74,6509,4537,88
75,5451,3692,52
76,8596,6098,64
77,5210,3600,28
78,1326,897,12
79,1605,1077,24
80,7311,5166,68
81,6327,4523,42
82,8850,6315,116
83,10,7,0
84,714,495,4
85,4677,3258,28
86,19,14,0
87,23,17,0
88,8,6,0
89,3912,2678,26
90,5809,4049,32
91,7238,5216,22
92,5870,4196,24
93,4874,3294,22
94,7360,5084,38
95,7973,5616,34
96,6769,4712,28
97,3947,2837,44
98,4710,3357,18
99,15,11,0
100,18,13,0
101,22,14,0
102,20,14,0
103,20,14,0
104,32,21,0
105,20,13,0
106,35,24,0
107,1,1,0
108,316,223,2
109,3103,2213,16
110,53,39,0
111,12,9,0
112,30,24,0
113,89,67,0
114,2,2,0
115,1160,773,26
116,6,5,0
117,6,5,0
118,387,292,0
119,749,549,20
120,4186,2991,14
121,2117,1471,8
122,7589,5365,32
123,6,4,0
124,6,4,0
125,648,461,2
126,5,3,0
127,1177,859,2
128,505,366,4
129,3477,2458,14
130,2532,1774,18
131,5742,4057,30
132,85,61,0
133,1791,1275,10
134,3856,2737,22
135,1881,1341,12
136,13,10,0
137,936,674,6
138,6741,4814,42
139,3416,2451,16
140,7,5,0
141,4369,3090,32
142,6593,4696,32
143,1702,1212,14
144,4043,2869,26
145,3311,2370,16
146,3029,2105,20
147,535,387,2
148,3162,2295,26
149,7411,5116,56
150,1674,1240,144
151,4127,2982,44
152,200,144,2
153,1099,816,24
154,6858,4873,62
155,86,51,2
156,1126,783,6
157,7236,5191,44
158,8238,5577,66
159,3466,2491,20
160,3282,2295,22
161,169,117,0
162,992,716,6
163,968,675,6
164,4406,3070,30
165,3772,2653,18
166,832,578,6
167,931,642,4
168,5395,3765,22
169,1653,1174,12
170,11318,7978,66
171,3717,2577,26
172,3350,2417,20
173,5063,3612,40
174,5310,3816,42
175,1954,1420,12
176,20,14,0
177,286,197,4
178,6662,4767,38
179,3560,2514,26
180,6157,4452,62
181,2257,1666,14
182,9791,6976,92
183,1553,1094,12
184,3729,2556,24
185,431,289,12
186,5709,3856,42
187,6327,4393,40
188,628,428,2
189,5145,3563,34
190,9424,6550,62
191,3748,2516,24
192,3773,2665,20
193,1861,1284,14
194,3998,2708,30
195,1410,981,6
196,243,162,4
197,43,26,0
198,2265,1572,22
199,5,4,0
200,2116,1481,36
201,1777,1292,12
202,9139,6296,62
203,7603,5315,42
204,7553,5221,42
205,10724,7420,68
206,418,298,4
207,4515,3166,30
208,3508,2418,16
209,1663,1174,10
210,4073,2828,22
211,5,4,0
212,3539,2510,112
213,4501,3148,32
214,37,26,0
215,6228,4344,38
216,485,335,2
217,4718,3303,24
218,787,530,6
219,35,22,0
220,1199,829,22
221,3626,2457,62
222,4852,3259,36
223,6938,4803,46
224,6890,4799,34
225,1922,1339,8
226,6534,4521,24
227,8158,5621,42
228,729,502,6
229,1563,1097,4
230,234,170,0
231,131,98,0
232,5055,3457,30
233,5447,3835,32
234,954,652,8
235,158,107,0
236,8,7,0
237,1493,1005,16
238,212,153,2
239,2944,2038,30
240,2762,1943,12
241,822,578,6
242,5014,3479,48
243,11,8,0
244,1671,1180,20
245,6737,4717,44
246,6131,4256,54
247,6246,4313,44
248,5280,3654,36
249,175,122,4
250,2469,1759,12
251,2329,1640,10
252,2323,1585,12
253,720,511,6
254,5840,4063,42
255,8317,5831,52
256,6681,4608,42
257,1893,1290,8
258,3362,2311,16
259,1545,1072,12
260,7944,5499,48
261,2036,1381,14
262,2307,1552,14
263,3274,2213,26
264,375,260,2
265,2853,1964,14
266,3214,2159,24
267,5681,3966,30
268,1178,788,10
269,55,32,0
270,86,51,0
271,4043,2878,16
272,1955,1397,8
273,691,470,8
274,1360,925,10
275,99,77,0
276,3526,2419,24
277,6958,4884,34
278,6290,4419,34
279,3354,2195,18
280,2110,1423,16
281,2882,1955,20
282,2930,1952,16
283,5248,3466,26
284,13,8,0
285,1058,713,8
286,7142,4998,32
287,5092,3619,28
288,4112,2837,26
289,2751,1904,14
290,1386,955,6
291,2663,1845,14
292,1446,1020,8
293,5940,4166,34
294,1229,854,8
295,322,220,4
296,5526,3829,36
297,237,161,4
298,6807,4750,34
299,4522,3131,22
300,494,340,4
301,7030,4820,42
302,4884,3384,32
303,2048,1410,12
304,7763,5504,38
305,5447,3748,40
306,35,26,0
307,2185,1531,12
308,328,226,4
309,1340,931,8
310,4831,3338,24
311,37,25,0
312,741,498,2
313,11,6,0
314,1493,998,10
315,852,575,8
316,1633,1124,14
317,29,20,0
318,2526,1721,16
319,920,635,6
320,2773,1805,18
